Jahr,Delikt,Geschlecht,Beziehungsart,Fälle,Straftaten_Total,davon_versucht,davon_mehrfach,Anzahl_geschaedigter_Personen_Total,<10 Jahre,10 - 19 Jahre,20 - 29 Jahre,30 - 39 Jahre,40 - 49 Jahre,50 - 59 Jahre,60 - 69 Jahre,70 Jahre und +
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),männlich,Alle,,,,,116,2,4.0,21.0,27.0,28,18,13,3
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),männlich,   Partnerschaft,,,,,12,0,0.0,4.0,3.0,3,2,0,0
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),männlich,   ehemalige Partnerschaft,,,,,68,0,1.0,10.0,18.0,20,11,7,1
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),männlich,   Eltern-Kind-Beziehung,,,,,12,2,3.0,2.0,1.0,2,0,2,0
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),männlich,   andere Verwandtschaftsbeziehung,,,,,25,0,0.0,6.0,5.0,3,5,4,2
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),weiblich,Alle,,,,,540,2,45.0,173.0,151.0,122,37,8,2
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),weiblich,   Partnerschaft,,,,,73,0,1.0,27.0,20.0,20,5,0,0
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),weiblich,   ehemalige Partnerschaft,,,,,428,0,38.0,134.0,128.0,96,27,5,0
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),weiblich,   Eltern-Kind-Beziehung,,,,,18,2,2.0,5.0,3.0,2,2,2,0
2009,Missbrauch einer Fernmeldeanlage (Art. 179septies),weiblich,   andere Verwandtschaftsbeziehung,,,,,26,0,4.0,8.0,3.0,4,4,1,2
2009,Drohung (Art. 180),Total,Alle,4098.0,4303.0,2.0,666.0,4198,50,345.0,1103.0,1153.0,1005,367,130,44
2009,Drohung (Art. 180),männlich,Alle,,,,,771,23,83.0,123.0,159.0,207,114,46,16
2009,Drohung (Art. 180),männlich,   Partnerschaft,,,,,294,1,4.0,49.0,67.0,110,42,15,6
2009,Drohung (Art. 180),männlich,   ehemalige Partnerschaft,,,,,136,0,2.0,22.0,46.0,38,19,8,1
2009,Drohung (Art. 180),männlich,   Eltern-Kind-Beziehung,,,,,180,18,65.0,22.0,7.0,28,25,10,5
2009,Drohung (Art. 180),männlich,   andere Verwandtschaftsbeziehung,,,,,169,4,12.0,33.0,41.0,34,28,13,4
2009,Drohung (Art. 180),weiblich,Alle,,,,,3427,27,262.0,980.0,994.0,798,253,84,28
2009,Drohung (Art. 180),weiblich,   Partnerschaft,,,,,1954,1,61.0,563.0,658.0,464,149,46,11
2009,Drohung (Art. 180),weiblich,   ehemalige Partnerschaft,,,,,1074,0,76.0,360.0,309.0,260,53,12,4
2009,Drohung (Art. 180),weiblich,   Eltern-Kind-Beziehung,,,,,297,26,101.0,39.0,25.0,50,36,14,6
2009,Drohung (Art. 180),weiblich,   andere Verwandtschaftsbeziehung,,,,,175,0,29.0,42.0,25.0,40,20,12,7
2009,Nötigung (Art. 181),Total,Alle,762.0,781.0,32.0,95.0,765,5,88.0,225.0,190.0,167,60,21,9
2009,Nötigung (Art. 181),männlich,Alle,,,,,97,2,13.0,20.0,16.0,23,14,6,3
2009,Nötigung (Art. 181),männlich,   Partnerschaft,,,,,26,0,0.0,9.0,6.0,8,1,2,0
2009,Nötigung (Art. 181),männlich,   ehemalige Partnerschaft,,,,,38,0,0.0,8.0,8.0,11,7,3,1
2009,Nötigung (Art. 181),männlich,   Eltern-Kind-Beziehung,,,,,20,1,13.0,2.0,0.0,1,0,1,2
2009,Nötigung (Art. 181),männlich,   andere Verwandtschaftsbeziehung,,,,,14,1,0.0,2.0,2.0,3,6,0,0
2009,Nötigung (Art. 181),weiblich,Alle,,,,,668,3,75.0,205.0,174.0,144,46,15,6
2009,Nötigung (Art. 181),weiblich,   Partnerschaft,,,,,346,0,22.0,115.0,108.0,72,22,5,2
2009,Nötigung (Art. 181),weiblich,   ehemalige Partnerschaft,,,,,263,0,30.0,79.0,65.0,62,20,7,0
2009,Nötigung (Art. 181),weiblich,   Eltern-Kind-Beziehung,,,,,50,2,21.0,10.0,2.0,7,2,3,3
2009,Nötigung (Art. 181),weiblich,   andere Verwandtschaftsbeziehung,,,,,22,1,3.0,8.0,1.0,4,3,0,2
2009,Freiheitsberaubung und Entführung (Art. 183),Total,Alle,151.0,152.0,3.0,14.0,157,9,21.0,58.0,32.0,24,9,3,1
2009,Freiheitsberaubung und Entführung (Art. 183),männlich,Alle,,,,,16,6,2.0,4.0,2.0,1,0,1,0
2009,Freiheitsberaubung und Entführung (Art. 183),männlich,   Partnerschaft,,,,,5,0,0.0,2.0,1.0,1,0,1,0
2009,Freiheitsberaubung und Entführung (Art. 183),männlich,   ehemalige Partnerschaft,,,,,1,X,0.0,0.0,0.0,X,X,X,X
